furnishingstatus,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,price
2,3600,3,1,2,0,0,0,0,0,1,0,2940000
2,3660,4,1,2,0,0,0,0,0,0,0,2940000
1,3480,3,1,2,0,0,0,0,0,1,0,2940000
0,2700,2,1,1,0,0,0,0,0,0,0,2940000
2,3150,3,1,2,0,0,0,0,0,0,0,2940000
1,6615,3,1,2,1,0,0,0,0,0,0,2940000
2,3040,2,1,1,0,0,0,0,0,0,0,2870000
2,3630,2,1,1,1,0,0,0,0,0,0,2870000
1,6000,2,1,1,1,0,0,0,0,0,0,2870000
2,5400,4,1,2,1,0,0,0,0,0,0,2870000
2,5200,4,1,3,1,0,0,0,0,0,0,2852500
1,3300,3,1,2,0,0,0,0,0,1,0,2835000
2,4350,3,1,2,0,0,0,1,0,1,0,2835000
0,2640,2,1,1,0,0,0,0,0,1,0,2835000
2,2650,3,1,2,1,0,1,0,0,1,0,2800000
0,3960,3,1,1,1,0,0,0,0,0,0,2800000
2,6800,2,1,1,1,0,0,0,0,0,0,2730000
2,4000,3,1,2,1,0,0,0,0,1,0,2730000
2,4000,2,1,1,1,0,0,0,0,0,0,2695000
2,3934,2,1,1,1,0,0,0,0,0,0,2660000
1,2000,2,1,2,1,0,0,0,0,0,0,2660000
2,3630,3,3,2,0,1,0,0,0,0,0,2660000
2,2800,3,1,1,1,0,0,0,0,0,0,2660000
2,2430,3,1,1,0,0,0,0,0,0,0,2660000
1,3480,2,1,1,1,0,0,0,0,1,0,2660000
1,4000,3,1,1,1,0,0,0,0,0,0,2660000
2,3185,2,1,1,1,0,0,0,1,0,0,2653000
2,4000,3,1,2,1,0,0,0,1,0,0,2653000
2,2910,2,1,1,0,0,0,0,0,0,0,2604000
2,3600,2,1,1,1,0,0,0,0,0,0,2590000
2,4400,2,1,1,1,0,0,0,0,0,0,2590000
0,3600,2,2,2,1,0,1,0,0,1,0,2590000
2,2880,3,1,1,0,0,0,0,0,0,0,2520000
2,3180,3,1,1,0,0,0,0,0,0,0,2520000
0,3000,2,1,2,1,0,0,0,0,0,0,2520000
2,4400,3,1,2,1,0,0,0,0,0,0,2485000
1,3000,3,1,2,0,0,0,0,0,0,0,2485000
2,3210,3,1,2,1,0,1,0,0,0,0,2450000
2,3240,2,1,1,0,1,0,0,0,1,0,2450000
2,3000,2,1,1,1,0,0,0,0,1,0,2450000
2,3500,2,1,1,1,1,0,0,0,0,0,2450000
2,4840,2,1,2,1,0,0,0,0,0,0,2450000
2,7700,2,1,1,1,0,0,0,0,0,0,2450000
2,3635,2,1,1,0,0,0,0,0,0,0,2408000
0,2475,3,1,2,1,0,0,0,0,0,0,2380000
0,2787,4,2,2,1,0,0,0,0,0,0,2380000
2,3264,2,1,1,1,0,0,0,0,0,0,2380000
2,3640,2,1,1,1,0,0,0,0,0,0,2345000
2,3180,2,1,1,1,0,0,0,0,0,0,2310000
1,1836,2,1,1,0,0,1,0,0,0,0,2275000
2,3970,1,1,1,0,0,0,0,0,0,0,2275000
2,3970,3,1,2,1,0,1,0,0,0,0,2275000
2,1950,3,1,1,0,0,0,1,0,0,0,2240000
2,5300,3,1,1,0,0,0,0,1,0,1,2233000
2,3000,2,1,1,0,0,0,0,0,0,0,2135000
2,2400,3,1,2,1,0,0,0,0,0,0,2100000
2,3000,4,1,2,1,0,0,0,0,0,0,2100000
2,3360,2,1,1,1,0,0,0,0,1,0,2100000
2,3420,5,1,2,0,0,0,0,0,0,0,1960000
2,1700,3,1,2,1,0,0,0,0,0,0,1890000
2,3649,2,1,1,1,0,0,0,0,0,0,1890000
2,2990,2,1,1,0,0,0,0,0,1,0,1855000
2,3000,2,1,1,1,0,1,0,0,2,0,1820000
1,2400,3,1,1,0,0,0,0,0,0,0,1767150
2,3620,2,1,1,1,0,0,0,0,0,0,1750000
0,2910,3,1,1,0,0,0,0,0,0,0,1750000
2,3850,3,1,2,1,0,0,0,0,0,0,1750000
